Temperature	Concentration	Distance	Hamaker
2.00E+01	1.00E-05	1.00E-10	3.39E+00
2.00E+01	1.00E-05	1.11E-10	3.39E+00
2.00E+01	1.00E-05	1.23E-10	3.39E+00
2.00E+01	1.00E-05	1.37E-10	3.39E+00
2.00E+01	1.00E-05	1.52E-10	3.39E+00
2.00E+01	1.00E-05	1.69E-10	3.39E+00
2.00E+01	1.00E-05	1.87E-10	3.39E+00
2.00E+01	1.00E-05	2.08E-10	3.39E+00
2.00E+01	1.00E-05	2.31E-10	3.39E+00
2.00E+01	1.00E-05	2.57E-10	3.38E+00
2.00E+01	1.00E-05	2.85E-10	3.38E+00
2.00E+01	1.00E-05	3.16E-10	3.38E+00
2.00E+01	1.00E-05	3.51E-10	3.38E+00
2.00E+01	1.00E-05	3.90E-10	3.37E+00
2.00E+01	1.00E-05	4.33E-10	3.37E+00
2.00E+01	1.00E-05	4.81E-10	3.36E+00
2.00E+01	1.00E-05	5.34E-10	3.36E+00
2.00E+01	1.00E-05	5.93E-10	3.35E+00
2.00E+01	1.00E-05	6.58E-10	3.35E+00
2.00E+01	1.00E-05	7.31E-10	3.34E+00
2.00E+01	1.00E-05	8.11E-10	3.33E+00
2.00E+01	1.00E-05	9.01E-10	3.32E+00
2.00E+01	1.00E-05	1.00E-09	3.31E+00
2.00E+01	1.00E-05	1.11E-09	3.29E+00
2.00E+01	1.00E-05	1.23E-09	3.28E+00
2.00E+01	1.00E-05	1.37E-09	3.26E+00
2.00E+01	1.00E-05	1.52E-09	3.24E+00
2.00E+01	1.00E-05	1.69E-09	3.22E+00
2.00E+01	1.00E-05	1.87E-09	3.19E+00
2.00E+01	1.00E-05	2.08E-09	3.17E+00
2.00E+01	1.00E-05	2.31E-09	3.13E+00
2.00E+01	1.00E-05	2.57E-09	3.10E+00
2.00E+01	1.00E-05	2.85E-09	3.07E+00
2.00E+01	1.00E-05	3.16E-09	3.03E+00
2.00E+01	1.00E-05	3.51E-09	2.98E+00
2.00E+01	1.00E-05	3.90E-09	2.94E+00
2.00E+01	1.00E-05	4.33E-09	2.88E+00
2.00E+01	1.00E-05	4.81E-09	2.83E+00
2.00E+01	1.00E-05	5.34E-09	2.77E+00
2.00E+01	1.00E-05	5.93E-09	2.71E+00
2.00E+01	1.00E-05	6.58E-09	2.65E+00
2.00E+01	1.00E-05	7.31E-09	2.58E+00
2.00E+01	1.00E-05	8.11E-09	2.51E+00
2.00E+01	1.00E-05	9.01E-09	2.43E+00
2.00E+01	1.00E-05	1.00E-08	2.36E+00
2.00E+01	1.00E-05	1.11E-08	2.28E+00
2.00E+01	1.00E-05	1.23E-08	2.20E+00
2.00E+01	1.00E-05	1.37E-08	2.12E+00
2.00E+01	1.00E-05	1.52E-08	2.04E+00
2.00E+01	1.00E-05	1.69E-08	1.96E+00
2.00E+01	1.00E-05	1.87E-08	1.87E+00
2.00E+01	1.00E-05	2.08E-08	1.79E+00
2.00E+01	1.00E-05	2.31E-08	1.71E+00
2.00E+01	1.00E-05	2.57E-08	1.63E+00
2.00E+01	1.00E-05	2.85E-08	1.55E+00
2.00E+01	1.00E-05	3.16E-08	1.47E+00
2.00E+01	1.00E-05	3.51E-08	1.39E+00
2.00E+01	1.00E-05	3.90E-08	1.32E+00
2.00E+01	1.00E-05	4.33E-08	1.24E+00
2.00E+01	1.00E-05	4.81E-08	1.17E+00
2.00E+01	1.00E-05	5.34E-08	1.10E+00
2.00E+01	1.00E-05	5.93E-08	1.02E+00
2.00E+01	1.00E-05	6.58E-08	9.52E-01
2.00E+01	1.00E-05	7.31E-08	8.80E-01
2.00E+01	1.00E-05	8.11E-08	8.09E-01
2.00E+01	1.00E-05	9.01E-08	7.38E-01
2.00E+01	1.00E-05	1.00E-07	6.68E-01
2.00E+01	1.00E-05	1.11E-07	5.99E-01
2.00E+01	1.00E-05	1.23E-07	5.30E-01
2.00E+01	1.00E-05	1.37E-07	4.64E-01
2.00E+01	1.00E-05	1.52E-07	3.99E-01
2.00E+01	1.00E-05	1.69E-07	3.39E-01
2.00E+01	1.00E-05	1.87E-07	2.82E-01
2.00E+01	1.00E-05	2.08E-07	2.30E-01
2.00E+01	1.00E-05	2.31E-07	1.84E-01
2.00E+01	1.00E-05	2.57E-07	1.44E-01
2.00E+01	1.00E-05	2.85E-07	1.10E-01
2.00E+01	1.00E-05	3.16E-07	8.23E-02
2.00E+01	1.00E-05	3.51E-07	6.05E-02
2.00E+01	1.00E-05	3.90E-07	4.39E-02
2.00E+01	1.00E-05	4.33E-07	3.16E-02
2.00E+01	1.00E-05	4.81E-07	2.28E-02
2.00E+01	1.00E-05	5.34E-07	1.65E-02
2.00E+01	1.00E-05	5.93E-07	1.21E-02
2.00E+01	1.00E-05	6.58E-07	9.01E-03
2.00E+01	1.00E-05	7.31E-07	6.76E-03
2.00E+01	1.00E-05	8.11E-07	5.09E-03
2.00E+01	1.00E-05	9.01E-07	3.82E-03
2.00E+01	1.00E-05	1.00E-06	2.85E-03
2.00E+01	1.00E-05	1.11E-06	2.10E-03
2.00E+01	1.00E-05	1.23E-06	1.53E-03
2.00E+01	1.00E-05	1.37E-06	1.09E-03
2.00E+01	1.00E-05	1.52E-06	7.64E-04
2.00E+01	1.00E-05	1.69E-06	5.21E-04
2.00E+01	1.00E-05	1.87E-06	3.46E-04
2.00E+01	1.00E-05	2.08E-06	2.22E-04
2.00E+01	1.00E-05	2.31E-06	1.36E-04
2.00E+01	1.00E-05	2.57E-06	7.97E-05
2.00E+01	1.00E-05	2.85E-06	4.41E-05
2.00E+01	1.00E-05	3.16E-06	2.28E-05
2.00E+01	2.64E-05	1.00E-10	3.39E+00
2.00E+01	2.64E-05	1.11E-10	3.39E+00
2.00E+01	2.64E-05	1.23E-10	3.39E+00
2.00E+01	2.64E-05	1.37E-10	3.39E+00
2.00E+01	2.64E-05	1.52E-10	3.39E+00
